5.000000000000000000e+03,3.740500000000000000e+03
6.000000000000000000e+03,3.740500000000000000e+03
7.000000000000000000e+03,3.481000000000000000e+03
8.000000000000000000e+03,3.221500000000000000e+03
9.000000000000000000e+03,2.962000000000000000e+03
1.000000000000000000e+04,2.702500000000000000e+03
1.100000000000000000e+04,2.443000000000000000e+03
1.200000000000000000e+04,2.183500000000000000e+03
1.300000000000000000e+04,1.924000000000000000e+03
1.400000000000000000e+04,1.664500000000000000e+03
1.500000000000000000e+04,1.405000000000000000e+03
1.600000000000000000e+04,1.145500000000000000e+03
1.700000000000000000e+04,8.860000000000000000e+02
1.800000000000000000e+04,6.265000000000000000e+02
1.900000000000000000e+04,4.058402709960937500e+02
2.000000000000000000e+04,2.915065307617187500e+02
2.100000000000000000e+04,2.822831726074218750e+02
2.200000000000000000e+04,3.785265502929687500e+02
2.300000000000000000e+04,5.819050292968750000e+02
2.400000000000000000e+04,8.959426879882812500e+02
2.500000000000000000e+04,1.173046020507812500e+03
2.600000000000000000e+04,1.417674804687500000e+03
2.700000000000000000e+04,1.632652465820312500e+03
2.800000000000000000e+04,1.819929687500000000e+03
2.900000000000000000e+04,1.980906860351562500e+03
3.000000000000000000e+04,2.116577880859375000e+03
3.100000000000000000e+04,2.227611816406250000e+03
3.200000000000000000e+04,2.314411376953125000e+03
3.300000000000000000e+04,2.377119140625000000e+03
3.400000000000000000e+04,2.415646484375000000e+03
3.500000000000000000e+04,2.429708496093750000e+03
3.600000000000000000e+04,2.418820800781250000e+03
3.700000000000000000e+04,2.382311523437500000e+03
3.800000000000000000e+04,2.319309326171875000e+03
3.900000000000000000e+04,2.228742675781250000e+03
4.000000000000000000e+04,2.109322021484375000e+03
4.100000000000000000e+04,1.959505859375000000e+03
4.200000000000000000e+04,1.777439575195312500e+03
4.300000000000000000e+04,1.560834472656250000e+03
4.400000000000000000e+04,1.306705078125000000e+03
4.500000000000000000e+04,1.047205078125000000e+03
4.600000000000000000e+04,7.877050781250000000e+02
4.700000000000000000e+04,5.282050781250000000e+02
4.800000000000000000e+04,2.687050781250000000e+02
